Product_Name,Product_Link,Product_Price
"MOTOROLA Razar 50 Flip (Beach Sand, 256 GB)",https://www.flipkart.com/motorola-razar-50-flip-beach-sand-256-gb/p/itm30dfa64b2920f?pid=MOBH4M99BYKZNFSZ&lid=LSTMOBH4M99BYKZNFSZWYELMH&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH4M99BYKZNFSZ.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹69,990
₹79,99012% off"
"Motorola Edge 50 Neo (PANTONE Nautical Blue, 256 GB)",https://www.flipkart.com/motorola-edge-50-neo-pantone-nautical-blue-256-gb/p/itm94d3bb79258e9?pid=MOBHFHDRDDW9MKVG&lid=LSTMOBHFHDRDDW9MKVGZPCGUE&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBHFHDRDDW9MKVG.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹22,999
₹29,99923% off"
"Motorola Edge 50 Neo (PANTONE Latte, 256 GB)",https://www.flipkart.com/motorola-edge-50-neo-pantone-latte-256-gb/p/itm4cecc0a4796eb?pid=MOBHFHDRRCYFE7YJ&lid=LSTMOBHFHDRRCYFE7YJOXS042&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBHFHDRRCYFE7YJ.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹22,999
₹29,99923% off"
"Motorola Edge 50 Neo (PANTONE Grisaille, 256 GB)",https://www.flipkart.com/motorola-edge-50-neo-pantone-grisaille-256-gb/p/itm5b85defa76389?pid=MOBHFHDRVUDB3HFX&lid=LSTMOBHFHDRVUDB3HFXLMEVTW&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBHFHDRVUDB3HFX.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹22,999
₹29,99923% off"
"Motorola Edge 50 Fusion (Forest Green, 256 GB)",https://www.flipkart.com/motorola-edge-50-fusion-forest-green-256-gb/p/itm372843264e10a?pid=MOBHYVFV3RNAGXF6&lid=LSTMOBHYVFV3RNAGXF6A8TQA2&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBHYVFV3RNAGXF6.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹24,999
₹27,99910% off"
"Motorola Edge 50 Fusion (Forest Green, 128 GB)",https://www.flipkart.com/motorola-edge-50-fusion-forest-green-128-gb/p/itm44a2f982e2d64?pid=MOBHYVFVK9NTTND2&lid=LSTMOBHYVFVK9NTTND2PP8RIV&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBHYVFVK9NTTND2.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹22,999
₹25,99911% off"
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)",https://www.flipkart.com/motorola-edge-50-peach-fuzz-256-gb/p/itmbb9d98d3f286b?pid=MOBH2Q5YS97TYGFJ&lid=LSTMOBH2Q5YS97TYGFJQS8C5F&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH2Q5YS97TYGFJ.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹27,999
₹32,99915% off"
"MOTOROLA Edge 50 (Jungle Green, 256 GB)",https://www.flipkart.com/motorola-edge-50-jungle-green-256-gb/p/itm740d86a7c55d1?pid=MOBH2Q5Y5EVAGS6M&lid=LSTMOBH2Q5Y5EVAGS6M3AMJYD&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH2Q5Y5EVAGS6M.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹27,999
₹32,99915% off"
"MOTOROLA razr 40 Ultra (Glacier Blue, 256 GB)",https://www.flipkart.com/motorola-razr-40-ultra-glacier-blue-256-gb/p/itm66b6234c67a82?pid=MOBH3YF9FQ24HDUS&lid=LSTMOBH3YF9FQ24HDUSRN2R4D&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH3YF9FQ24HDUS.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹79,999
₹1,19,99933% off"
"MOTOROLA razr 40 Ultra (Peach Fuzz, 256 GB)",https://www.flipkart.com/motorola-razr-40-ultra-peach-fuzz-256-gb/p/itm66b6234c67a82?pid=MOBH3YFFXHNJYURY&lid=LSTMOBH3YFFXHNJYURYO5OIAI&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=ba7ba77f-fe0b-4488-b794-6aa6f31ac98a.MOBH3YFFXHNJYURY.SEARCH&ssid=35obkyv0gw0000001731655667327&qH=979dd593b8c05a74,"₹79,999
₹1,19,99933% off"
